id,name,label,rating,num_reviews,description,location,combined_features
12,Garuda Wisnu Kencana Cultural Park,Park,4.5,56938,"Expansive park featuring monumental Hindu sculptures, plus frequent dance performances & concerts.","Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364","Park 4.5 Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364 Expansive park featuring monumental Hindu sculptures, plus frequent dance performances & concerts."
14,Bali Bird Park,Bird watching area,4.6,10935,"Animal park with exotic-bird shows, feedings & displays, plus reptiles, native plants & a cafe.","Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582","Bird watching area 4.6 Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582 Animal park with exotic-bird shows, feedings & displays, plus reptiles, native plants & a cafe."
15,Bali Handara Gate,Tourist attraction,4.0,3068,Popular photo spot at a strikingly ornamented golf course entryway modeled on Balinese mythology.,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161","Tourist attraction 4.0 Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161 Popular photo spot at a strikingly ornamented golf course entryway modeled on Balinese mythology."
16,Bunut Bolong,Tourist attraction,4.5,867,Centuries-old banyan tree with a road tunnel through its trunk & a pair of shrines at its base.,"JV7C+7F, Desa Manggisari, Manggissari, Kec. Pekutatan, Kabupaten Jembrana, Bali 82262","Tourist attraction 4.5 JV7C+7F, Desa Manggisari, Manggissari, Kec. Pekutatan, Kabupaten Jembrana, Bali 82262 Centuries-old banyan tree with a road tunnel through its trunk & a pair of shrines at its base."
17,Goa Gajah,Hindu temple,4.2,7219,"Known for its stone carvings of Hindu gods, this cave may date as far back as the 9th century.","Bedulu, Blahbatuh, Gianyar Regency, Bali","Hindu temple 4.2 Bedulu, Blahbatuh, Gianyar Regency, Bali Known for its stone carvings of Hindu gods, this cave may date as far back as the 9th century."
19,Bali Bomb Memorial,Memorial,4.6,7372,"Striking monument & bombing memorial site with a name wall, floral offerings & a ring of flags.","Jln Legian, Kuta, Badung Regency, Bali 80361","Memorial 4.6 Jln Legian, Kuta, Badung Regency, Bali 80361 Striking monument & bombing memorial site with a name wall, floral offerings & a ring of flags."
22,Satria Gatotkaca Park,Monument,4.6,3939,"Park with paved paths & flower beds, plus fountains & a striking statue of mythical hero Gatotkaca.","Jl. Raya Tuban No.1, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361","Monument 4.6 Jl. Raya Tuban No.1, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361 Park with paved paths & flower beds, plus fountains & a striking statue of mythical hero Gatotkaca."
23,Kuta Beach,Tourist attraction,4.6,15227,"Crowds are drawn to this scenic, sandy beach for surfing, swimming, sunbathing & volleyball.","Jl. Pantai Kuta No.32, Legian, Badung, Kabupaten Badung, Bali","Tourist attraction 4.6 Jl. Pantai Kuta No.32, Legian, Badung, Kabupaten Badung, Bali Crowds are drawn to this scenic, sandy beach for surfing, swimming, sunbathing & volleyball."
24,West Bali National Park,National park,4.5,3134,"Area of protected coastline & the surrounding waters, last remaining habitat of the Curik Bali.","VFCG+X44, Sumber Klampok, Bali","National park 4.5 VFCG+X44, Sumber Klampok, Bali Area of protected coastline & the surrounding waters, last remaining habitat of the Curik Bali."
26,Bukit Campuhan,Hiking area,4.5,2304,"Scenic hiking destination featuring an ambling 12-km. trail amid lush green woods, valleys & rivers.","Jl. Bangkiang Sidem, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80571","Hiking area 4.5 Jl. Bangkiang Sidem, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80571 Scenic hiking destination featuring an ambling 12-km. trail amid lush green woods, valleys & rivers."
28,Temple Of Penataran Agung Lempuyang,Hindu temple,4.3,7040,"Complex of hillside Hindu temples, famed for its striking “heaven” gate & Mount Agung volcano views.","Jl. Pura Telaga Mas Lempuyang, Tri Buana, Kec. Abang, Kabupaten Karangasem, Bali 80852","Hindu temple 4.3 Jl. Pura Telaga Mas Lempuyang, Tri Buana, Kec. Abang, Kabupaten Karangasem, Bali 80852 Complex of hillside Hindu temples, famed for its striking “heaven” gate & Mount Agung volcano views."
29,Tanjung Benoa Beach,Public beach,4.5,2466,"Large, sandy beach offering swimming, sunbathing & boating, plus nearby restaurants.","Jl. Segara Kidul No.3x, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","Public beach 4.5 Jl. Segara Kidul No.3x, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361 Large, sandy beach offering swimming, sunbathing & boating, plus nearby restaurants."
31,Batu Bolong Temple,Hindu temple,4.6,1170,"Popular for tourist photos, this landmark Hindu temple sits on top of a rock overlooking the ocean.","Tabanan, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121","Hindu temple 4.6 Tabanan, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121 Popular for tourist photos, this landmark Hindu temple sits on top of a rock overlooking the ocean."
34,Pura Gunung Lebah,Hindu temple,4.4,232,Ancient temple in scenic jungle surrounds with ornate carvings & colorful statues.,"Jl. Raya Ubud No.23, Sayan, Kec. Payangan, Kabupaten Gianyar, Bali 80571","Hindu temple 4.4 Jl. Raya Ubud No.23, Sayan, Kec. Payangan, Kabupaten Gianyar, Bali 80571 Ancient temple in scenic jungle surrounds with ornate carvings & colorful statues."
35,Tukad Cepung Waterfall,Tourist attraction,4.6,2309,"Waterfall tumbling through a cave opening, lit by shafts of sunlight & reached by a forest trail.","Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671","Tourist attraction 4.6 Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671 Waterfall tumbling through a cave opening, lit by shafts of sunlight & reached by a forest trail."
37,Patung Garuda Wisnu Kencana,Sculpture,4.6,7209,"Inspired by a Hindu myth, this giant statue is the country's heaviest & includes a cultural center.","55P8+9J5, Ungasan, South Kuta, Badung Regency, Bali 80361","Sculpture 4.6 55P8+9J5, Ungasan, South Kuta, Badung Regency, Bali 80361 Inspired by a Hindu myth, this giant statue is the country's heaviest & includes a cultural center."
38,La Plancha Bali,Bar,4.4,11156,Bohemian beachfront Spanish tapas restaurant & bar famous for its colorful decor & sunset views.,"Jalan Mesari Beach, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361","Bar 4.4 Jalan Mesari Beach, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361 Bohemian beachfront Spanish tapas restaurant & bar famous for its colorful decor & sunset views."
42,Banyumala Waterfall,Tourist attraction,4.8,3502,Popular spot for photographers with a split waterfall plunging over the rocks into a jungle pool.,"Wanagiri, Sukasada, Buleleng Regency, Bali 81161","Tourist attraction 4.8 Wanagiri, Sukasada, Buleleng Regency, Bali 81161 Popular spot for photographers with a split waterfall plunging over the rocks into a jungle pool."
48,Penglipuran Village,Tourist attraction,4.8,18320,Traditional Balinese village selling handicrafts & local produce & offering homestay accommodation.,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611","Tourist attraction 4.8 Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611 Traditional Balinese village selling handicrafts & local produce & offering homestay accommodation."
49,Kecak Uluwatu,Tourist attraction,4.7,6423,"Scenic waterfront venue at Uluwatu Temple, offering traditional Balinese dance shows every day.","Kawasan parkir Pura Uluwatu, Jl. Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","Tourist attraction 4.7 Kawasan parkir Pura Uluwatu, Jl. Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361 Scenic waterfront venue at Uluwatu Temple, offering traditional Balinese dance shows every day."
55,Bali,Island,4.5,11112,"Indonesian island featuring resort towns, religious sites & forested volcanic mountains.",Bali,"Island 4.5 Bali Indonesian island featuring resort towns, religious sites & forested volcanic mountains."
